iter	Passed	Remaining
0	144	144271
1	145	72395
2	145	48411
3	146	36396
4	146	29212
5	147	24420
6	147	20992
7	148	18440
8	149	16462
9	150	14872
10	150	13561
11	151	12469
12	152	11563
13	152	10763
14	153	10081
15	154	9484
16	154	8958
17	155	8481
18	156	8056
19	156	7678
20	157	7337
21	158	7027
22	158	6740
23	159	6478
24	160	6241
25	160	6019
26	161	5814
27	162	5627
28	162	5449
29	163	5284
30	164	5129
31	164	4984
32	165	4844
33	165	4713
34	166	4589
35	167	4474
36	167	4367
37	168	4263
38	169	4164
39	169	4071
40	170	3983
41	170	3898
42	171	3817
43	172	3743
44	172	3670
45	173	3601
46	174	3535
47	174	3469
48	175	3405
49	176	3345
50	176	3288
51	177	3234
52	178	3182
53	178	3132
54	179	3083
55	180	3036
56	180	2991
57	181	2946
58	182	2903
59	182	2862
60	183	2822
61	183	2783
62	184	2745
63	185	2708
64	185	2672
65	186	2638
66	187	2606
67	187	2575
68	188	2544
69	189	2513
70	189	2483
71	190	2453
72	190	2425
73	191	2397
74	192	2370
75	192	2344
76	193	2317
77	194	2293
78	194	2269
79	195	2245
80	195	2221
81	196	2199
82	197	2178
83	197	2157
84	198	2134
85	198	2114
86	199	2093
87	200	2074
88	200	2055
89	201	2038
90	202	2022
91	203	2004
92	203	1986
93	204	1969
94	205	1952
95	205	1937
96	206	1920
97	207	1906
98	207	1890
99	208	1875
100	209	1860
101	209	1845
102	210	1830
103	210	1816
104	211	1801
105	212	1788
106	212	1774
107	213	1761
108	213	1748
109	214	1735
110	215	1723
111	215	1712
112	216	1701
113	217	1689
114	218	1677
115	218	1665
116	219	1653
117	219	1642
118	220	1631
119	220	1620
120	221	1610
121	222	1599
122	222	1588
123	223	1578
124	224	1568
125	224	1558
126	225	1549
127	225	1539
128	226	1529
129	227	1519
130	227	1510
131	228	1501
132	228	1492
133	229	1484
134	230	1476
135	231	1467
136	231	1459
137	232	1451
138	232	1443
139	233	1434
140	234	1426
141	234	1418
142	235	1409
143	235	1401
144	236	1395
145	237	1387
146	237	1380
147	238	1373
148	239	1366
149	239	1359
150	240	1351
151	241	1345
152	241	1338
153	242	1331
154	243	1325
155	243	1319
156	244	1312
