iter	Passed	Remaining
0	134	134659
1	135	67776
2	139	46243
3	141	35355
4	145	28975
5	146	24331
6	149	21149
7	151	18794
8	153	16858
9	154	15286
10	155	13988
11	156	12905
12	157	11991
13	158	11190
14	159	10496
15	160	9876
16	161	9341
17	162	8857
18	163	8417
19	163	8016
20	164	7654
21	164	7326
22	165	7030
23	166	6755
24	166	6500
25	167	6264
26	167	6045
27	168	5841
28	168	5651
29	169	5471
30	169	5302
31	170	5143
32	170	4994
33	170	4853
34	171	4720
35	171	4595
36	172	4478
37	172	4370
38	173	4267
39	173	4168
40	174	4073
41	174	3983
42	175	3896
43	175	3813
44	175	3733
45	176	3656
46	176	3583
47	177	3513
48	177	3446
49	178	3383
50	178	3320
51	178	3262
52	179	3208
53	180	3155
54	180	3104
55	181	3054
56	181	3004
57	182	2958
58	182	2912
59	183	2867
60	183	2824
61	183	2783
62	184	2744
63	184	2705
64	185	2668
65	185	2631
66	186	2596
67	187	2564
68	187	2531
69	188	2498
70	188	2467
71	189	2437
72	189	2407
73	189	2377
74	190	2348
75	190	2320
76	191	2292
77	191	2265
78	192	2238
79	192	2213
80	192	2188
81	193	2163
82	193	2137
83	193	2114
84	194	2091
85	194	2070
86	195	2050
87	195	2029
88	196	2009
89	196	1989
90	197	1971
91	197	1952
92	198	1935
93	198	1916
94	199	1898
95	199	1881
96	200	1863
97	200	1846
98	201	1829
99	201	1813
100	201	1797
101	202	1782
102	202	1767
103	203	1752
104	203	1737
105	204	1723
106	204	1709
107	205	1695
108	205	1681
109	206	1667
110	206	1654
111	206	1640
112	207	1627
113	207	1614
114	208	1601
115	208	1589
116	208	1576
117	209	1564
118	209	1552
119	210	1541
120	210	1531
121	211	1520
122	211	1510
123	212	1500
124	212	1490
125	213	1479
126	213	1469
127	214	1460
128	214	1450
129	215	1439
130	215	1429
131	216	1421
132	216	1411
133	216	1402
134	217	1393
135	217	1384
136	218	1375
137	218	1366
138	219	1357
139	219	1348
140	219	1340
141	220	1330
142	220	1322
143	221	1313
144	221	1305
145	221	1297
146	222	1289
147	222	1281
148	223	1273
149	223	1266
150	223	1258
151	224	1251
152	224	1243
153	225	1237
154	225	1230
155	226	1224
156	226	1218
157	227	1211
158	227	1205
159	228	1198
160	228	1190
161	228	1183
162	229	1177
163	229	1170
164	230	1164
165	230	1157
166	230	1151
167	231	1145
168	231	1139
169	232	1133
170	232	1128
171	233	1122
172	233	1116
173	234	1111
174	234	1105
175	234	1099
176	235	1094
177	235	1089
178	236	1084
179	236	1079
180	237	1073
181	237	1068
182	238	1063
183	238	1057
184	238	1052
185	239	1047
186	239	1042
187	240	1037
188	240	1032
189	241	1028
190	241	1023
191	242	1019
192	242	1014
193	243	1010
194	243	1005
195	243	1000
196	244	996
197	244	991
198	245	986
199	245	982
200	246	978
201	246	973
202	246	969
203	247	964
204	247	960
205	248	956
206	248	952
207	249	948
208	249	944
209	250	940
210	250	936
211	250	932
212	251	928
213	251	924
214	252	920
215	252	917
216	253	913
217	253	909
218	253	905
219	254	901
220	254	897
221	255	893
222	255	890
223	256	887
224	256	883
225	257	880
226	257	876
227	257	873
228	258	869
229	258	866
230	259	862
231	259	859
232	260	856
233	260	852
234	261	849
235	261	846
236	261	842
237	262	839
238	262	836
239	263	833
240	263	830
241	264	827
242	264	824
243	265	821
244	265	818
245	265	814
246	266	811
247	266	808
248	267	805
249	267	802
250	267	799
251	268	796
252	268	793
253	269	790
254	269	787
255	269	784
256	270	781
257	270	779
258	271	776
259	271	774
260	272	771
261	272	768
262	273	766
263	273	763
264	274	760
265	274	757
266	275	754
267	275	752
268	275	749
269	276	746
270	276	743
271	276	741
272	277	738
273	278	736
274	278	734
275	279	731
276	279	729
277	279	726
278	280	724
279	280	721
280	281	719
281	281	716
282	281	714
283	282	711
284	282	709
285	283	706
286	283	704
287	283	701
288	284	699
289	284	696
290	284	694
291	285	691
292	285	689
293	286	687
294	286	685
295	287	683
296	288	681
297	288	679
298	288	677
299	289	675
300	290	673
301	290	671
302	290	669
303	291	667
304	291	664
305	292	662
306	292	660
307	292	658
308	293	656
309	293	654
310	294	652
311	294	650
312	295	648
313	295	646
314	296	644
315	296	642
316	297	640
317	297	638
318	297	635
319	298	633
320	298	631
321	299	629
322	299	627
323	299	625
324	300	623
325	300	621
326	301	619
327	301	618
328	302	616
329	302	614
330	303	612
331	303	611
332	304	609
333	304	607
334	305	605
335	305	603
336	306	602
337	306	600
338	306	598
339	307	596
340	307	594
341	308	593
342	308	591
343	309	589
344	309	588
345	310	586
346	310	584
347	311	582
348	311	581
349	312	579
350	312	577
351	312	575
352	313	574
353	313	572
354	314	570
355	314	568
356	314	567
357	315	565
358	315	563
359	316	562
360	316	560
361	317	559
362	317	557
363	318	556
364	318	554
365	319	552
366	319	551
367	320	550
368	320	548
369	321	547
370	321	545
371	322	544
372	322	542
373	323	540
374	323	539
375	324	537
376	324	536
377	325	534
378	325	533
379	325	531
380	326	530
381	326	528
382	327	527
383	327	525
384	328	524
385	328	522
386	329	521
387	329	519
388	329	518
389	330	516
390	331	515
391	331	514
392	332	513
393	332	511
394	333	510
395	333	508
396	334	507
397	334	506
398	334	504
399	335	503
400	335	501
401	336	500
402	336	498
403	336	497
404	337	495
405	337	494
406	338	492
407	338	491
408	339	490
409	339	488
410	340	487
411	340	486
412	341	484
413	341	483
414	341	482
415	342	480
416	342	479
417	343	477
418	343	476
419	343	474
420	344	473
421	344	472
422	345	470
423	345	469
424	346	468
425	346	467
426	347	465
427	347	464
428	348	463
429	348	461
430	348	460
431	349	459
432	349	458
433	350	456
434	350	455
435	351	454
436	351	452
437	351	451
438	352	450
439	352	448
440	352	447
441	353	446
442	353	444
443	354	443
444	354	442
445	355	441
446	355	440
447	356	438
448	356	437
449	356	436
450	357	435
451	357	433
452	358	432
453	358	431
454	358	429
455	359	428
456	359	427
457	360	426
458	360	425
459	361	423
460	361	422
461	362	421
462	362	420
463	363	419
464	363	418
465	364	417
466	364	416
467	364	414
468	365	413
469	365	412
470	366	411
471	366	410
472	366	408
473	367	407
474	367	406
475	368	405
476	368	404
477	369	402
478	369	401
479	369	400
480	370	399
481	370	398
482	371	397
483	371	396
484	371	394
485	372	393
486	372	392
487	373	391
488	373	390
489	373	389
490	374	388
491	374	386
492	375	385
493	375	384
494	375	383
495	376	382
496	376	381
497	377	380
498	377	379
499	378	378
500	378	377
501	379	376
502	379	375
503	380	374
504	380	373
505	380	371
506	381	370
507	381	369
508	382	368
509	382	367
510	382	366
511	383	365
512	383	364
513	384	363
514	384	362
515	385	361
516	385	360
517	386	359
518	386	358
519	386	357
520	387	356
521	387	355
522	388	354
523	388	352
524	389	351
525	389	350
526	389	349
527	390	348
528	390	347
529	391	346
530	391	345
531	392	344
532	392	343
533	393	343
534	393	342
535	394	341
536	394	340
537	394	339
538	395	338
539	395	337
540	396	336
541	396	335
542	397	334
543	397	333
544	398	332
545	398	331
546	399	330
547	399	329
548	399	328
549	400	327
550	400	326
551	401	325
552	401	324
553	402	323
554	402	322
555	403	322
556	403	321
557	404	320
558	404	319
559	404	318
560	405	317
561	405	316
562	406	315
563	406	314
564	406	313
565	407	312
566	407	311
567	408	310
568	408	309
569	409	308
570	409	307
571	410	307
572	410	306
573	411	305
574	411	304
575	412	303
576	412	302
577	412	301
578	413	300
579	413	299
580	414	298
581	414	297
582	415	296
583	415	295
584	415	294
585	416	294
586	416	293
587	417	292
588	417	291
589	418	290
590	418	289
591	418	288
592	419	287
593	419	286
594	420	286
595	420	285
596	421	284
597	421	283
598	421	282
599	422	281
600	422	280
601	423	279
602	423	279
603	424	278
604	424	277
605	425	276
606	425	275
607	425	274
